name,x1,y1,x2,y2,classname
0001.jpg,380,293,443,356,face_with_mask
0002.png,317,112,585,380,face_with_mask
0005.jpg,115,130,218,233,face_with_mask
0006.jpg,441,668,508,735,face_with_mask
0006.jpg,593,867,643,917,face_with_mask
0006.jpg,54,438,383,767,face_with_mask
0007.jpg,807,765,857,815,face_with_mask
0007.jpg,1462,1180,1514,1232,face_with_mask
0007.jpg,320,547,444,671,face_with_mask
0007.jpg,1177,1156,1237,1216,face_with_mask
0009.jpg,1238,488,1307,557,face_with_mask
0009.jpg,518,424,626,532,face_with_mask
0011.jpg,204,72,288,156,face_with_mask
0011.jpg,401,109,488,196,face_with_mask
0011.jpg,77,270,140,333,face_with_mask
0011.jpg,90,136,182,228,face_with_mask
0012.jpg,897,393,966,462,face_with_mask
0012.jpg,136,325,228,417,face_with_mask
0012.jpg,1087,436,1165,514,face_with_mask
0017.jpg,464,52,543,131,face_with_mask
0019.jpg,801,563,875,637,face_with_mask
0019.jpg,471,486,585,600,face_no_mask
0019.jpg,1092,80,1156,144,face_with_mask
0020.jpg,847,17,900,70,face_with_mask
0020.jpg,711,9,775,73,face_with_mask
0020.jpg,856,484,898,526,face_with_mask
0023.jpg,300,11,832,543,face_with_mask
0024.jpg,360,429,403,472,face_with_mask
0025.jpg,369,81,419,131,face_with_mask
0025.jpg,350,399,436,485,face_with_mask
0025.jpg,555,176,688,309,face_with_mask
0025.jpg,126,215,233,322,face_with_mask
0026.jpg,578,233,650,305,face_with_mask
0026.jpg,415,263,501,349,face_with_mask
0026.jpg,61,97,112,148,face_with_mask
0026.jpg,559,97,636,174,face_with_mask
0027.jpg,430,316,480,366,face_with_mask
0027.jpg,168,380,228,440,face_with_mask
0030.jpg,664,1257,727,1320,face_with_mask
0030.jpg,1370,950,1467,1047,face_with_mask
0032.jpg,558,402,626,470,face_with_mask
0032.jpg,591,804,671,884,face_with_mask
0032.jpg,1481,1156,1567,1242,face_with_mask
0032.jpg,658,420,708,470,face_with_mask
0032.jpg,1438,672,1482,716,face_with_mask
0032.jpg,608,967,740,1099,face_with_mask
0032.jpg,1280,801,1340,861,face_with_mask
0032.jpg,50,344,100,394,face_with_mask
0035.jpg,814,445,849,480,face_with_mask
0035.jpg,544,1052,636,1144,face_with_mask
0038.jpg,1018,399,1068,449,face_with_mask
0039.jpg,555,81,629,155,face_with_mask
0040.jpg,206,256,349,399,face_with_mask
0041.jpg,777,354,825,402,face_with_mask
0041.jpg,528,331,586,389,face_with_mask
0041.jpg,732,538,900,706,face_with_mask
0041.jpg,288,672,398,782,face_with_mask
0042.jpg,150,655,274,779,face_with_mask
0043.jpg,864,487,1271,894,face_with_mask
0043.jpg,1186,1204,1238,1256,face_with_mask
0043.jpg,1135,1206,1530,1601,face_with_mask
0044.jpg,267,188,327,248,face_with_mask
0044.jpg,656,255,768,367,face_with_mask
0044.jpg,194,69,262,137,face_with_mask
0045.jpg,225,108,302,185,face_with_mask
0045.jpg,786,310,891,415,face_with_mask
0045.jpg,920,55,962,97,face_with_mask
0045.jpg,866,503,916,553,face_with_mask
0045.jpg,908,127,980,199,face_with_mask
0046.jpg,1295,892,1347,944,face_with_mask
0046.jpg,967,355,1275,663,face_no_mask
0049.jpg,1,230,47,276,face_with_mask
0049.jpg,146,86,216,156,face_with_mask
0050.jpg,429,227,515,313,face_with_mask
0050.jpg,8,68,88,148,face_with_mask
0051.jpg,210,55,260,105,face_with_mask
0051.jpg,489,68,576,155,face_with_mask
0054.jpg,445,576,489,620,face_with_mask
0055.jpg,427,137,738,448,face_with_mask
0055.jpg,824,450,874,500,face_with_mask
